Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,City_Mileage,Highway_Mileage,Combined_ARIA_Mileage,Kerb_Weight,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Track,Rear_Track,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Power_Seats,Keyless_Entry,Power,Torque,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Seats_Material,Type,Wheelbase,Wheels_Size,Start_/_Stop_Button,12v_Power_Outlet,Audiosystem,Aux-in_Compatibility,Average_Fuel_Consumption,Basic_Warranty,Bluetooth,Boot-lid_Opener,Boot_Space,CD_/_MP3_/_DVD_Player,Central_Locking,Child_Safety_Locks,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Minimum_Turning_Radius,Multifunction_Display,Sun_Visor,Third_Row_AC_Vents,Ventilation_System,Auto-Dimming_Rear-View_Mirror,Hill_Assist,Gear_Indicator,3_Point_Seat-Belt_in_Middle_Rear_Seat,Ambient_Lightning,Cargo/Boot_Lights,Drive_Modes,Engine_Immobilizer,High_Speed_Alert_System,Lane_Watch_Camera/_Side_Mirror_Camera,Passenger_Side_Seat-Belt_Reminder,Seat_Back_Pockets,Voice_Recognition,Walk_Away_Auto_Car_Lock,ABS_(Anti-lock_Braking_System),Headlight_Reminder,Adjustable_Headrests,Gross_Vehicle_Weight,Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Number_of_Airbags,Compression_Ratio,Adjustable_Steering_Column,Parking_Assistance,Key_Off_Reminder,USB_Compatibility,Android_Auto,Apple_CarPlay,Cigarette_Lighter,Infotainment_Screen,Multifunction_Steering_Wheel,Average_Speed,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Navigation_System,Second_Row_AC_Vents,Tyre_Pressure_Monitoring_System,Rear_Center_Armrest,iPod_Compatibility,ESP_(Electronic_Stability_Program),Cooled_Glove_Box,Heated_Seats,Turbocharger,ISOFIX_(Child-Seat_Mount),Rain_Sensing_Wipers,Paddle_Shifters,Leather_Wrapped_Steering,Automatic_Headlamps,ASR_/_Traction_Control,Cruise_Control,USB_Ports,Heads-Up_Display,Welcome_Lights,carname
Toyota,Etios Liva,Dual Tone Vxd,756700,1364.0,4.0,2.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45.0,Diesel,1510.0,3884.0,1695.0,Hatchback,5.0,20.3,23.08,23.59,895 kg,5.0,170.0,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,1468.0,1474.0,185/60R15,185/60R15,Electric Power,All Windows,No,Remote,68PS@3800rpm,170Nm@1800-2400rpm,Digital,Analog,Digital,Yes,5.0,Fabric,Manual,2460.0,185/60R15,No,Yes,DVD Player with USB & Aux-in,Yes,No,3 years /100000 Kms (years/distance whichever comes first),Yes,Internal,251.0,Yes,Yes,Yes,Digital,Front,No,Front & Rear,Yes,,Yes,With Remote,Digital,Manual,Analog + Digital,Yes,4.8,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,No,No,No,No,No,No,Normal,Yes,No,No,No,Yes,No,No,Yes,Yes,All Rows,1475.0,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,No,2.0,,Rake,Rear sensors,Yes,Yes,No,No,No,No,Multifunction Steering Wheel,No,No,Manual Adjustment,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Toyota-Etios Liva
Toyota,Etios Liva,Gx,558400,1197.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45.0,Petrol,1510.0,3884.0,1695.0,Hatchback,5.0,15.1,17.71,18.16,895 kg,5.0,170.0,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,1468.0,1474.0,175/65R14,175/65R14,Electric Power,All Windows,No,No,80PS@5600rpm,104Nm@3100rpm,Digital,Analog,Digital,Yes,5.0,Fabric,Manual,2460.0,175/65R14,No,Yes,Not on offer,No,No,3 years /100000 Kms (years/distance whichever comes first),No,Internal,251.0,No,Yes,Yes,Digital,Front,No,Front & Rear,Yes,,No,With Remote,Digital,Manual,Analog + Digital,Yes,4.8,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,No,No,No,No,No,No,Normal,Yes,No,No,No,Yes,No,No,Yes,Yes,All Rows,1475.0,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,No,2.0,,Rake,No,Yes,No,No,No,No,No,No,No,No,Manual Adjustment,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Toyota-Etios Liva
Toyota,Etios Liva,Gxd,686000,1364.0,4.0,2.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45.0,Diesel,1510.0,3884.0,1695.0,Hatchback,5.0,20.3,23.59,23.59,895 kg,5.0,170.0,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,1468.0,1474.0,175/65R14,175/65R14,Electric Power,All Windows,No,Remote,68PS@3800rpm,170Nm@1800-2400rpm,Digital,Analog,Digital,Yes,5.0,Fabric,Manual,2460.0,175/65R14,No,Yes,Not on offer,No,No,3 years /100000 Kms (years/distance whichever comes first),No,Internal,251.0,No,Yes,Yes,Digital,Front,No,Front & Rear,Yes,,No,With Remote,Digital,Manual,Analog + Digital,Yes,4.8,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,No,No,No,No,No,No,Normal,Yes,No,No,No,Yes,No,No,Yes,Yes,All Rows,1475.0,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,No,2.0,,Rake,No,Yes,No,No,No,No,No,No,No,No,Manual Adjustment,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Toyota-Etios Liva
Toyota,Etios Liva,Vx Dual Tone Limited Edition,662700,1197.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45.0,Petrol,1510.0,3884.0,1695.0,Hatchback,5.0,15.1,17.71,18.16,895 kg,5.0,170.0,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,1468.0,1474.0,185/60R15,185/60R15,Electric Power,All Windows,No,Remote,80PS@5600rpm,104Nm@3100rpm,Digital,Analog,Digital,Yes,5.0,Fabric,Manual,2460.0,185/60R15,No,Yes,USB & Aux-in,Yes,No,3 years /100000 Kms (years/distance whichever comes first),Yes,Internal,251.0,Yes,Yes,Yes,Digital,Front,No,Front & Rear,Yes,,Yes,With Remote,Digital,Manual,Analog + Digital,Yes,4.8,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,No,No,No,No,No,No,Normal,Yes,No,No,No,Yes,No,No,Yes,Yes,All Rows,1475.0,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,No,2.0,10.5:1,Rake,Rear sensors with camera,Yes,Yes,No,No,No,Touch Sensitive,Multifunction Steering Wheel,No,No,Manual Adjustment,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Toyota-Etios Liva
Toyota,Etios Liva,Vxd Dual Tone Limited Edition,777700,1364.0,4.0,2.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45.0,Diesel,1510.0,3884.0,1695.0,Hatchback,5.0,20.3,23.08,23.59,895 kg,5.0,170.0,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,1468.0,1474.0,185/60R15,185/60R15,Electric Power,All Windows,No,Remote,68PS@3800rpm,170Nm@1800-2400rpm,Digital,Analog,Digital,Yes,5.0,Fabric,Manual,2460.0,185/60R15,No,Yes,DVD Player with USB & Aux-in,Yes,No,3 years /100000 Kms (years/distance whichever comes first),Yes,Internal,251.0,Yes,Yes,Yes,Digital,Front,No,Front & Rear,Yes,,Yes,With Remote,Digital,Manual,Analog + Digital,Yes,4.8,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,No,No,No,No,No,No,Normal,Yes,No,No,No,Yes,No,No,Yes,Yes,All Rows,1475.0,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,No,2.0,,Rake,Rear sensors with camera,Yes,Yes,No,No,No,Touch Sensitive,Multifunction Steering Wheel,No,No,Manual Adjustment,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Toyota-Etios Liva
Nissan,Micra Active,Xl,525021,1198.0,3.0,12.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,41.0,Petrol,1530.0,3801.0,1665.0,Hatchback,5.0,15.1,17.19,18.97,,5.0,154.0,Ventilated Disc,Drum,Mc Pherson-strut,Torsion Beam,1520.0,1525.0,155/80 R13,155/80 R13,Electric Power,Only Front Windows,No,No,68PS@5000rpm,104Nm@4000rpm,Digital,Analog,Not on offer,Yes,5.0,Fabric,Manual,2450.0,13x4.5B Steel,No,Yes,Not on offer,No,No,24 months /50000 Kms (whichever comes first),No,Internal,251.0,No,Yes,Yes,Digital,Front & Rear,Yes,Front,Yes,2 years / 80000 Kms (years/distance whichever comes first),No,Internal,Digital,Manual,Analog + Digital,Yes,4.65,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,No,No,No,No,No,No,Normal,Yes,No,No,No,No,No,No,No,Yes,Second Row,1750.0,"Driver frontal airbag, Front passenger frontal airbag",No,No,Yes,Yes,2.0,,Rake,Rear sensors,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Nissan-Micra Active
Nissan,Micra Active,Xv,599950,1198.0,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,41.0,Petrol,1530.0,3801.0,1665.0,Hatchback,5.0,19.49,17.19,19.49,,5.0,154.0,Ventilated Disc,Drum,Mc Pherson Strut,Torsion Beam,1520.0,1525.0,155/80R13,155/80R13,Electric Power,All Windows,No,Remote,68PS@5000rpm,104Nm@4000rpm,Digital,Analog,Analog,Yes,5.0,Fabric,Manual,2450.0,13x4.5B Steel,No,Yes,CD Player with USB & Aux-in,Yes,No,24 months /50000 Kms (whichever comes first),No,Internal,251.0,Yes,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,2 years / 80000 Kms (years/distance whichever comes first),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.65,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,No,No,Yes,No,No,No,Normal,Yes,No,No,No,No,No,No,Yes,Yes,Second Row,1750.0,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,No,2.0,,Rake,Rear sensors,Yes,Yes,No,No,No,Touch Sensitive,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Nissan-Micra Active
Nissan,Micra Active,Xl (O),563133,1198.0,3.0,12.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,41.0,Petrol,1530.0,3801.0,1665.0,Hatchback,5.0,15.1,17.19,18.97,,5.0,154.0,Ventilated Disc,Drum,Mc Pherson-strut,Torsion Beam,1520.0,1525.0,155/80 R13,155/80 R13,Electric Power,All Windows,No,Remote,68PS@5000rpm,104Nm@4000rpm,Digital,Analog,Not on offer,Yes,5.0,Fabric,Manual,2450.0,13x4.5B Steel,No,Yes,CD Player with USB & Aux-in,Yes,No,24 months /50000 Kms (whichever comes first),No,Internal,251.0,No,Yes,Yes,Digital,Front & Rear,Yes,Front,Yes,2 years / 80000 Kms (years/distance whichever comes first),No,Internal,Digital,Manual,Analog + Digital,Yes,4.65,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,No,No,No,No,No,No,Normal,Yes,No,No,No,No,No,No,No,Yes,Second Row,1750.0,"Driver frontal airbag, Front passenger frontal airbag",No,No,Yes,Yes,2.0,,Rake,Rear sensors,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Nissan-Micra Active
Tata,Bolt,Xt Diesel,787980,1248.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,44.0,Diesel,1562.0,3825.0,1695.0,Hatchback,5.0,22.95,17.19,22.95,1132 kg,5.0,165.0,Solid Disc,Drum,Dual-path McPherson strut with coil spring and anti-roll bar,Twist Beam with Coil spring and Shock Absorber,1520.0,1525.0,175/65 R15,175/65 R15,Electric Power,All Windows,No,Yes,75PS@4000rpm,190Nm@1750-3000rpm,Digital,Analog,Analog,2,5.0,Fabric,Manual,2470.0,175/65 R15,No,Yes,CD Player with USB & Aux-in,Yes,Yes,,Yes,Internal,210.0,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front,Yes,3 years /150000 Kms (years/distance whichever comes first),Yes,Manual,Digital,Manual,Analog + Digital,Yes,5.1,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,No,No,Yes,No,No,No,Normal,Yes,No,No,No,Yes,No,No,Yes,Yes,All Rows,1160.0,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,,Rake,No,Yes,Yes,No,No,Yes,No,Multifunction Steering Wheel,Yes,No,Manual Adjustment,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Tata-Bolt
Tata,Bolt,Xe Diesel,661111,1248.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,44.0,Diesel,1562.0,3825.0,1695.0,Hatchback,5.0,22.95,17.19,22.95,1132 kg,5.0,165.0,Solid Disc,Drum,Dual-path McPherson strut with coil spring and anti-roll bar,Twist Beam with Coil spring and Shock Absorber,1520.0,1525.0,175/65 R14,175/65 R14,Electric Power,No,No,No,75PS@4000rpm,190Nm@1750-3000rpm,Digital,Analog,Analog,2,5.0,Fabric,Manual,2470.0,175/65 R14,No,No,Not on offer,No,No,2 years /75000 Kms (years/distance whichever comes first),No,"With Remote, Internal",210.0,No,Yes,Yes,Digital,Front,No,Front,Yes,3 years /150000 Kms (years/distance whichever comes first),No,"With Remote, Manual",Analog,Manual,Analog + Digital,Yes,5.1,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,No,No,No,No,No,No,Normal,Yes,No,No,No,No,No,No,No,Yes,All Rows,1160.0,No,Yes,No,Yes,No,0.0,,Rake,No,Yes,No,No,No,No,No,No,Yes,No,Manual Adjustment,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Tata-Bolt
Tata,Bolt,Xm Diesel,693798,1248.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,44.0,Diesel,1562.0,3825.0,1695.0,Hatchback,5.0,22.95,17.19,22.95,1132 kg,5.0,165.0,Solid Disc,Drum,Dual-path McPherson strut with coil spring and anti-roll bar,Twist Beam with Coil spring and Shock Absorber,1520.0,1525.0,175/65 R14,175/65 R14,Electric Power,All Windows,No,No,75PS@4000rpm,190Nm@1750-3000rpm,Digital,Analog,Analog,2,5.0,Fabric,Manual,2470.0,175/65 R14,No,Yes,CD Player with USB & Aux-in,Yes,Yes,2 years /75000 Kms (years/distance whichever comes first),Yes,"Internal, With Remote",210.0,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,3 years /150000 Kms (years/distance whichever comes first),Yes,"With Remote, Manual",Analog,Manual,Analog + Digital,Yes,5.1,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,No,No,No,No,No,No,Normal,Yes,No,No,No,Yes,No,No,Yes,Yes,All Rows,1160.0,No,Yes,Yes,Yes,No,0.0,,Rake,No,Yes,Yes,No,No,Yes,No,Multifunction Steering Wheel,Yes,No,Electric Adjustment with Memory,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Tata-Bolt
Tata,Bolt,Xms Diesel,719661,1248.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,44.0,Diesel,1562.0,3825.0,1695.0,Hatchback,5.0,22.95,17.19,22.95,1132 kg,5.0,165.0,Solid Disc,Drum,Dual-path McPherson strut with coil spring and anti-roll bar,Twist Beam with Coil spring and Shock Absorber,1520.0,1525.0,175/65 R14,175/65 R14,Electric Power,All Windows,No,No,75PS@4000rpm,190Nm@1750-3000rpm,Digital,Analog,Analog,No,5.0,Fabric,Manual,2470.0,175/65 R14,No,Yes,CD Player with USB & Aux-in,Yes,Yes,2 years /75000 Kms (years/distance whichever comes first),Yes,Internal,210.0,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,3 years /150000 Kms (years/distance whichever comes first),Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.1,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,No,No,No,No,No,No,Normal,Yes,No,No,No,No,No,No,Yes,Yes,All Rows,1160.0,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,No,2.0,,Rake,No,Yes,Yes,No,No,No,No,Multifunction Steering Wheel,No,No,Manual Adjustment,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Tata-Bolt
Tata,Bolt,Xt Petrol,674960,1193.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,44.0,Petrol,1562.0,3825.0,1695.0,Hatchback,5.0,17.57,17.19,17.57,1095 kg,5.0,165.0,Solid Disc,Drum,Dual-path McPherson strut with coil spring and anti-roll bar,Twist Beam with Coil spring and Shock Absorber,1520.0,1525.0,175/65 R15,175/65 R15,Electric Power,All Windows,No,Yes,90PS@5000rpm,140Nm@1500-4000rpm,Digital,Analog,Analog,2,5.0,Fabric,Manual,2470.0,175/65 R15,No,1,CD Player with USB & Aux-in,Yes,Yes,2 years /75000 Kms (years/distance whichever comes first),Yes,Manual,210.0,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front,Yes,3 years /150000 Kms (years/distance whichever comes first),Yes,Manual,Digital,Manual,Analog + Digital,Yes,5.1,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,No,No,No,No,No,No,Normal,Yes,No,No,No,Yes,No,No,Yes,Yes,All Rows,1125.0,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,,Rake,No,Yes,Yes,No,No,Yes,No,Multifunction Steering Wheel,Yes,No,Electric Adjustment,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Tata-Bolt
Tata,Bolt,Xe Petrol,529035,1193.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,44.0,Petrol,1562.0,3825.0,1695.0,Hatchback,5.0,17.57,17.19,17.57,1095 kg,5.0,165.0,Solid Disc,Drum,Dual-path McPherson strut with coil spring and anti-roll bar,Twist Beam with Coil spring and Shock Absorber,1520.0,1525.0,175/65 R14,175/65 R14,Electric Power,No,No,No,90PS@5000rpm,140Nm@1500-4000rpm,Digital,Analog,Analog,2,5.0,Fabric,Manual,2470.0,175/65 R14,No,No,Not on offer,No,Yes,2 years /75000 Kms (years/distance whichever comes first),No,"With Remote, Internal",210.0,No,Yes,Yes,Digital,Front,Yes,Front,Yes,3 years /150000 Kms (years/distance whichever comes first),No,"With Remote, Manual",Digital,Manual,Analog + Digital,Yes,5.1,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,No,No,No,No,No,No,Normal,Yes,No,No,No,Yes,No,No,No,Yes,All Rows,1125.0,No,Yes,No,Yes,No,0.0,,Rake,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Tata-Bolt
Tata,Bolt,Xm Petrol,590268,1193.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,44.0,Petrol,1562.0,3825.0,1695.0,Hatchback,5.0,17.57,17.19,17.57,1095 kg,5.0,165.0,Solid Disc,Drum,Dual-path McPherson strut with coil spring and anti-roll bar,Twist Beam with Coil spring and Shock Absorber,1520.0,1525.0,175 / 65 R14,175 / 65 R14,Electric Power,All Windows,No,No,90PS@5000rpm,140Nm@1500-4000rpm,Digital,Analog,Analog,2,5.0,Fabric,Manual,2470.0,175/ 65 R14,No,Yes,CD Player with USB & Aux-in,Yes,Yes,2 years /75000 Kms (years/distance whichever comes first),Yes,"Internal, With Remote",210.0,Yes,No,Yes,Digital,Front,Yes,Front,Yes,3 years /150000 Kms (years/distance whichever comes first),Yes,"With Remote, Manual",Digital,Manual,Analog + Digital,Yes,5.1,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,No,No,No,No,No,No,Normal,Yes,No,No,No,Yes,No,No,Yes,Yes,All Rows,1125.0,No,Yes,Yes,Yes,No,0.0,,Rake,No,Yes,Yes,No,No,No,No,Multifunction Steering Wheel,Yes,No,Manual Adjustment,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Tata-Bolt
Tata,Bolt,Xms Petrol,614515,1193.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,44.0,Petrol,1562.0,3825.0,1695.0,Hatchback,5.0,17.57,17.19,17.57,1095 kg,5.0,165.0,Solid Disc,Drum,Dual-path McPherson strut with coil spring and anti-roll bar,Twist Beam with Coil spring and Shock Absorber,1520.0,1525.0,175 / 65 R14,175 / 65 R14,Electric Power,All Windows,No,No,90PS@5000rpm,140Nm@1500-4000rpm,Digital,Analog,Analog,2,5.0,Fabric,Manual,2470.0,175/ 65 R14,No,No,CD Player with USB & Aux-in,Yes,Yes,2 years /75000 Kms (years/distance whichever comes first),Yes,Manual,210.0,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front,Yes,3 years /150000 Kms (years/distance whichever comes first),Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.1,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,No,No,No,No,No,No,Normal,Yes,No,No,No,Yes,No,No,Yes,Yes,All Rows,1125.0,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,No,2.0,,Rake,No,Yes,Yes,No,No,No,No,Multifunction Steering Wheel,No,No,Manual Adjustment,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Tata-Bolt
Hyundai,Xcent Prime,Cng T + (Cng +,556130,1197.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,43.0,CNG + Petrol,1520.0,3995.0,1660.0,Sedan,4.0,15.1,17.19,25.0,1100 kg,5.0,165.0,Ventilated Disc,Drum,MacPherson Strut,Coupled Torsion Beam Axle,1479.0,1493.0,165/65R14,165/65R14,Electric Power,Only Front Windows,No,No,83PS@6000rpm,114Nm@6000rpm,Digital,Analog,Analog,2,5.0,Fabric,Manual,2425.0,165/65R14,No,Yes,Not on offer,No,No,,No,Internal,407.0,No,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,"3rd /4th Years / up to 1,00,000 Kms (Whichever comes earlier)",No,Internal,Analog,Manual,Analog + Digital,Yes,5.2,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,No,Yes,No,No,No,Normal,Yes,No,No,No,Yes,No,No,Yes,Yes,Second Row,1530.0,No,Yes,No,Yes,Yes,0.0,,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Cup Holders,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Hyundai-Xcent Prime
Hyundai,Xcent Prime,T,536859,1197.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,43.0,Petrol,1520.0,3995.0,1660.0,Sedan,4.0,15.1,17.19,15.7,1100 kg,5.0,165.0,Ventilated Disc,Drum,Mc Pherson Strut,Coupled Torsion Beam Axle,1479.0,1493.0,165/65R14,165/65R14,Electric Power,No,No,No,83PS@6000rpm,114Nm@6000rpm,Digital,Analog,Analog,Yes,5.0,Fabric,Manual,2425.0,165/65R14,No,Yes,Not on offer,No,No,,No,Internal,407.0,No,No,Yes,Digital,Front,Yes,Front & Rear,Yes,"3rd /4th Years / up to80,000 Kms (Whichever comes earlier)",No,Internal,Analog,Manual,Analog + Digital,Yes,5.2,Yes,Driver & Front Passenger,Not Applicable,Yes,No,No,Yes,No,No,No,Normal,Yes,No,No,No,Yes,No,No,No,Yes,Second Row,1530.0,No,Yes,No,Yes,Yes,0.0,,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Cup Holders,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Hyundai-Xcent Prime
Hyundai,Xcent Prime,T+,556130,1197.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,43.0,Petrol,1520.0,3995.0,1660.0,Sedan,4.0,15.1,15.7,20.03491914893617,1100 kg,5.0,165.0,Ventilated Disc,Drum,MacPherson Strut,Coupled Torsion Beam Axle,1479.0,1493.0,165/65R14,165/65R14,Electric Power,Only Front Windows,No,No,83PS@6000rpm,114Nm@6000rpm,Digital,Analog,Analog,2,5.0,Fabric,Manual,2425.0,165/65R14,No,Yes,Not on offer,No,No,,No,Internal,407.0,No,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,"3rd /4th Years / up to 1,00,000 Kms (Whichever comes earlier)",No,Internal,Analog,Manual,Analog + Digital,Yes,5.2,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,No,No,Yes,No,No,No,Normal,Yes,No,No,No,Yes,No,No,Yes,Yes,Second Row,1530.0,No,Yes,No,Yes,Yes,0.0,,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Cup Holders,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Hyundai-Xcent Prime
Hyundai,Xcent Prime,Cng T (Cng +,536859,1197.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,43.0,CNG + Petrol,1520.0,3995.0,1660.0,Sedan,4.0,15.1,17.19,25.0,1100 kg,5.0,165.0,Ventilated Disc,Drum,MacPherson Strut,Coupled Torsion Beam Axle,1479.0,1493.0,165/65R14,165/65R14,Electric Power,Only Front Windows,No,No,81.8bhp@6000rpm,114Nm@6000rpm,Digital,Analog,Analog,2,5.0,Fabric,Manual,2425.0,165/65R14,No,Yes,Not on offer,No,No,,No,Internal,407.0,No,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,"3rd /4th Years / up to 1,00,000 Kms (Whichever comes earlier)",No,Internal,Analog,Manual,Analog + Digital,Yes,5.2,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,No,Yes,No,No,No,Normal,Yes,No,No,No,Yes,No,No,Yes,Yes,Second Row,1530.0,No,Yes,No,Yes,Yes,0.0,,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Cup Holders,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Hyundai-Xcent Prime
